Entry	Entry name
Q87YW7	1A1D_PSESM
Q87VV5	3MGH_PSESM
Q886M7	ACCA_PSESM
Q87YI2	ACCD_PSESM
P80923	ACP_PSESM
Q885K7	ACSA_PSESM
Q889J2	ADE_PSESM
Q87UB2	AGUA_PSESM
Q887Q0	ALG44_PSESM
Q887P9	ALG8_PSESM
Q887Q9	ALGA_PSESM
Q88AQ2	ALGB_PSESM
Q88BD4	ALGC_PSESM
Q887P8	ALGD_PSESM
Q887Q2	ALGE_PSESM
Q887Q8	ALGF_PSESM
Q887Q3	ALGG_PSESM
Q887Q6	ALGI_PSESM
Q887Q7	ALGJ_PSESM
Q887Q1	ALGK_PSESM
Q887Q5	ALGL_PSESM
Q887Q4	ALGX_PSESM
Q87YX3	ALLA_PSESM
Q87YX4	ALLC_PSESM
Q887D9	AMIF_PSESM
Q887M0	AMPA_PSESM
Q889Z1	ANMK_PSESM
Q88A47	APAG_PSESM
Q88A48	APAH_PSESM
Q87YC5	APEB_PSESM
Q884U6	APT_PSESM
Q882I8	ARAG_PSESM
Q88AR2	ARGA_PSESM
Q88BD5	ARGB_PSESM
Q889Z3	ARGC_PSESM
Q885K0	ARGD1_PSESM
Q882K8	ARGD2_PSESM
Q87WZ4	ARGJ_PSESM
Q88B94	ARLY_PSESM
Q888I3	AROA_PSESM
Q87V15	AROB_PSESM
Q884P5	AROC_PSESM
Q87V14	AROK_PSESM
Q87VS6	AROQ_PSESM
Q87XM3	ASSY_PSESM
Q885J6	ASTB_PSESM
Q885J7	ASTD_PSESM
Q885J4	ASTE_PSESM
Q87ZS3	ATE_PSESM
Q87TS8	ATP6_PSESM
Q87TT2	ATPA_PSESM
Q87TT4	ATPB_PSESM
Q87TT1	ATPD_PSESM
Q87TT5	ATPE_PSESM
Q87TT0	ATPF_PSESM
Q87TT3	ATPG_PSESM
Q87TS9	ATPL_PSESM
Q880L8	AZOR1_PSESM
Q87UC3	AZOR2_PSESM
Q88AE7	BETA_PSESM
Q88AE9	BETB_PSESM
Q88AF0	BETI_PSESM
Q88A98	BIOB_PSESM
Q88A97	BIOF_PSESM
P0A105	CAPB_PSESM
Q886R9	CAPP_PSESM
Q87WP3	CARA_PSESM
Q87WP4	CARB_PSESM
Q87VQ6	CBID_PSESM
Q87VN8	CBPA_PSESM
Q88A53	CCA_PSESM
Q87Z03	CCMA_PSESM
Q87Z07	CCME_PSESM
Q87X13	CH10_PSESM
Q87X14	CH60_PSESM
Q884V3	CHEB1_PSESM
Q888V8	CHEB2_PSESM
Q886S8	CHEB3_PSESM
Q888V7	CHED_PSESM
Q889C2	CLPB_PSESM
Q87YR6	CLPP_PSESM
Q87ZS0	CLPS_PSESM
Q87YR7	CLPX_PSESM
Q87TY7	CLSA_PSESM
Q87XG6	CMOA_PSESM
Q87XG5	CMOB_PSESM
Q88AH3	COAD_PSESM
Q888U3	COAE_PSESM
Q889Y6	COAX_PSESM
Q885W8	COBQ_PSESM
Q885W4	COBS_PSESM
Q885W6	COBT_PSESM
P59571	COPA_PSESM
P59572	COPB_PSESM
Q889Z8	COQ7_PSESM
Q87ZS8	CRCB_PSESM
Q886F0	CSRA1_PSESM
P69921	CSRA2_PSESM
Q87Z65	CSRA3_PSESM
Q88B06	CYAY_PSESM
Q885A6	CYNS_PSESM
Q887G7	CYOE_PSESM
Q88AS5	CYSA_PSESM
Q87WW0	CYSD_PSESM
Q87ZT0	CYSG_PSESM
Q887V6	CYSZ_PSESM
Q88BB6	DADA_PSESM
Q87WP2	DAPB_PSESM
Q886Q4	DAPE_PSESM
Q88B09	DAPF_PSESM
Q87XN2	DCD_PSESM
Q885Z9	DCTA_PSESM
Q87V23	DCUP_PSESM
Q87XJ6	DDLA_PSESM
Q87WY7	DDLB_PSESM
Q88B43	DEF1_PSESM
Q886I1	DEF2_PSESM
Q886Y6	DER_PSESM
Q88BK3	DNAA_PSESM
Q881T7	DNAE2_PSESM
Q87WP1	DNAJ_PSESM
Q87WP0	DNAK_PSESM
Q87YY6	DNLJ_PSESM
Q87Y22	DPO4_PSESM
O52376	DSBA_PSESM
Q887H2	DSBB_PSESM
Q87UX9	DTD_PSESM
Q884G7	DUSA_PSESM
Q87VS1	DUSB_PSESM
Q884C6	DUSC_PSESM
Q88BD3	DUT_PSESM
Q886N7	DXR_PSESM
Q889Q1	DXS_PSESM
Q889X4	EFG_PSESM
Q885R6	EFP_PSESM
Q886P2	EFTS_PSESM
Q889X3	EFTU_PSESM
Q88AP4	ENGB_PSESM
Q886M3	ENO1_PSESM
Q87WD5	ENO2_PSESM
Q87XG2	ERA_PSESM
Q87WD2	ERIC_PSESM
Q889Z2	ERPA_PSESM
Q889M3	EUTC_PSESM
Q886X9	EX7L_PSESM
Q889P9	EX7S_PSESM
Q87UX4	F16PA_PSESM
Q883Y6	FABA_PSESM
Q886N2	FABZ_PSESM
Q87ZB3	FADA_PSESM
Q87ZB2	FADB_PSESM
Q87UF5	FETP_PSESM
Q884Z5	FLGH_PSESM
Q884Z4	FLGI_PSESM
Q884X9	FLIE_PSESM
Q88B42	FMT_PSESM
Q87YR0	FOLD1_PSESM
Q883B5	FOLD2_PSESM
Q88AH6	FPG_PSESM
Q87ZS5	FTSK_PSESM
Q885V0	FUMC_PSESM
Q888Q7	G6PI_PSESM
Q87WR9	GATA_PSESM
Q87WR8	GATB_PSESM
Q87WS0	GATC_PSESM
Q887V1	GCH11_PSESM
Q884Q3	GCH12_PSESM
Q882P7	GCH4_PSESM
Q887L4	GCSH1_PSESM
Q88AR9	GCSH2_PSESM
Q887L5	GCSP_PSESM
Q88AS0	GCST_PSESM
Q880M9	GLGA_PSESM
Q881X0	GLGB_PSESM
Q87WQ0	GLMM_PSESM
Q87TT8	GLMS_PSESM
Q87TT6	GLMU_PSESM
Q886P5	GLND_PSESM
Q87VD5	GLNE_PSESM
Q87YS8	GLO2_PSESM
Q88A49	GLPE_PSESM
Q87XL0	GLPK_PSESM
Q882Y4	GLSA_PSESM
Q888P9	GLUQ_PSESM
Q88AD1	GLYA1_PSESM
Q87WC1	GLYA2_PSESM
Q883Y4	GPDA_PSESM
Q88A30	GPH_PSESM
P52832	GPMI_PSESM
Q87WP5	GREA_PSESM
Q883T5	GREB_PSESM
Q87WN9	GRPE_PSESM
Q87VY5	GSA_PSESM
Q88AR1	GSH1_PSESM
Q87VA4	GSHB_PSESM
Q886X5	GUAA_PSESM
